Genus,Species,Count
Virgibacillus,Pantothenticus,5
Weizmannia,Coagulans,60
Xenophilus,Sp,2
Yersinia,Aldovae,6
Yersinia,Aleksiciae,6
Yersinia,Bercovieri,3
Yersinia,Enterocolitica,172
Yersinia,Entomophaga,12
Yersinia,Frederiksenii,8
Yersinia,Intermedia,11
Yersinia,Kristensenii,9
Yersinia,Massiliensis,12
Yersinia,Mollaretii,6
Yersinia,Nurmii,12
Yersinia,Pekkanenii,12
Yersinia,Pestis,71
Yersinia,Pseudotuberculosis,73
Yersinia,Rohdei,3
Yersinia,Ruckeri,27
Yersinia,Similis,27
Yersinia,Sp,12
Yersinia,Wautersii,12
